member_casual,start_station_name,month,no_of_trips
member,Stockton Dr & Wrightwood Ave,July,1344
casual,Wells St & Concord Ln,October,1343
casual,Halsted St & Wrightwood Ave,June,1342
member,Halsted St & Roscoe St,September,1341
member,Sheffield Ave & Fullerton Ave,October,1341
member,Fairbanks Ct & Grand Ave,July,1340
casual,Clark St & Drummond Pl,August,1338
casual,Halsted St & Wrightwood Ave,July,1338
member,Peoria St & Jackson Blvd,October,1338
member,DuSable Lake Shore Dr & Belmont Ave,August,1337
casual,Broadway & Cornelia Ave,July,1336
member,Clark St & Elm St,March,1336
member,Desplaines St & Kinzie St,May,1336
member,Wabash Ave & Grand Ave,October,1335
member,Wells St & Evergreen Ave,July,1334
casual,Kingsbury St & Kinzie St,July,1333
casual,New St & Illinois St,May,1333
casual,Wells St & Elm St,September,1333
member,Peoria St & Jackson Blvd,June,1332
member,Federal St & Polk St,June,1331
member,State St & 33rd St,November,1331
casual,McClurg Ct & Ohio St,May,1329
member,DuSable Lake Shore Dr & Monroe St,August,1329
member,Sheffield Ave & Wellington Ave,August,1329
member,Sheffield Ave & Wellington Ave,June,1329
member,Fairbanks Ct & Grand Ave,June,1327
member,DuSable Lake Shore Dr & Diversey Pkwy,May,1326
casual,LaSalle St & Illinois St,September,1325
member,Dearborn Pkwy & Delaware Pl,May,1325
member,Halsted St & Wrightwood Ave,September,1323
casual,DuSable Lake Shore Dr & Belmont Ave,May,1322
casual,Wells St & Evergreen Ave,August,1321
member,Broadway & Waveland Ave,May,1321
member,Larrabee St & Kingsbury St,July,1321
casual,DuSable Lake Shore Dr & Diversey Pkwy,May,1320
member,New St & Illinois St,August,1317
member,Desplaines St & Kinzie St,September,1316
casual,Clark St & Schiller St,July,1315
casual,Clark St & Wrightwood Ave,September,1314
member,Clark St & Newport St,September,1314
member,Clark St & Drummond Pl,October,1311
member,Kimbark Ave & 53rd St,July,1311
member,Lakeview Ave & Fullerton Pkwy,May,1311
member,Franklin St & Monroe St,July,1309
member,Kingsbury St & Erie St,August,1309
casual,Sheffield Ave & Wrightwood Ave,July,1308
casual,Wabash Ave & Wacker Pl,July,1308
member,Halsted St & Polk St,November,1307
member,Michigan Ave & Washington St,July,1307
member,Damen Ave & Pierce Ave,September,1306
member,Southport Ave & Roscoe St,May,1306
member,St. Clair St & Erie St,November,1306
casual,Michigan Ave & Lake St,May,1305
member,Halsted St & Roscoe St,May,1305
member,Broadway & Waveland Ave,October,1304
casual,Wabash Ave & Roosevelt Rd,June,1303
member,Broadway & Cornelia Ave,May,1303
member,Bissell St & Armitage Ave*,August,1302
member,Wells St & Evergreen Ave,August,1302
member,Sheffield Ave & Waveland Ave,September,1301
member,Southport Ave & Waveland Ave,July,1300
member,Pine Grove Ave & Irving Park Rd,August,1297
member,Burling St & Diversey Pkwy,August,1295
member,Sheffield Ave & Wellington Ave,September,1295
member,Larrabee St & Kingsbury St,October,1294
casual,Green St & Madison St,July,1293
casual,Lincoln Ave & Fullerton Ave,June,1293
casual,Michigan Ave & Washington St,September,1291
member,Ellis Ave & 55th St,July,1289
member,Clinton St & Jackson Blvd,July,1288
member,Morgan St & Lake St,July,1288
member,Clark St & Armitage Ave,October,1287
member,Orleans St & Merchandise Mart Plaza,September,1287
casual,Wells St & Huron St,June,1284
member,Sheffield Ave & Waveland Ave,May,1284
member,Sheridan Rd & Irving Park Rd,June,1284
member,Clark St & Drummond Pl,May,1283
member,Clinton St & Madison St,March,1283
member,State St & Randolph St,August,1283
casual,Halsted St & Roscoe St,August,1281
member,State St & Randolph St,July,1279
member,Sheffield Ave & Wrightwood Ave,July,1278
member,Southport Ave & Waveland Ave,June,1277
member,Canal St & Monroe St,October,1276
member,Green St & Madison St,October,1276
member,May St & Taylor St,July,1276
casual,Southport Ave & Waveland Ave,July,1275
casual,DuSable Lake Shore Dr & Wellington Ave,May,1274
member,Ellis Ave & 58th St,October,1274
